id1,id2,flow_code,flow,value
8,4,1,Import,6941
12,4,1,Import,1180
24,4,1,Import,266430
31,4,2,Export,189368417
32,4,1,Import,6345
32,4,2,Export,165197
36,4,1,Import,1044682
36,4,2,Export,1759902
40,4,1,Import,211216
40,4,2,Export,9561282
48,4,1,Import,174462
48,4,2,Export,726965
51,4,1,Import,16
51,4,2,Export,220000
56,4,1,Import,2405223
56,4,2,Export,46218712
60,4,1,Import,7423
68,4,1,Import,2424
70,4,1,Import,12495
70,4,2,Export,53303
76,4,1,Import,280871
76,4,2,Export,6733281
96,4,1,Import,8447
100,4,1,Import,234683
100,4,2,Export,2370533
112,4,1,Import,443000
112,4,2,Export,15900500
116,4,2,Export,919
120,4,1,Import,463
124,4,1,Import,2359461
124,4,2,Export,10883833
132,4,1,Import,826
144,4,1,Import,17302
144,4,2,Export,492500
152,4,1,Import,12376
156,4,1,Import,11996206
156,4,2,Export,364318885
170,4,1,Import,26887
170,4,2,Export,83277
188,4,1,Import,40424
188,4,2,Export,195842
191,4,1,Import,5091
191,4,2,Export,118312
196,4,1,Import,83
196,4,2,Export,39489
203,4,1,Import,52782
203,4,2,Export,6300698
204,4,1,Import,18431
208,4,1,Import,276843
208,4,2,Export,12421702
214,4,1,Import,710228
218,4,1,Import,3351
218,4,2,Export,100
222,4,1,Import,21077
231,4,1,Import,32
231,4,2,Export,23344
233,4,1,Import,7534
233,4,2,Export,966367
242,4,2,Export,8374
246,4,1,Import,6549852
246,4,2,Export,2277506
251,4,1,Import,6950336
251,4,2,Export,24131882
258,4,1,Import,246
268,4,2,Export,328722
276,4,1,Import,7702839
276,4,2,Export,90488134
300,4,2,Export,679048
304,4,1,Import,509
320,4,1,Import,91180
320,4,2,Export,83337
344,4,1,Import,240704
344,4,2,Export,9361367
348,4,1,Import,75885
348,4,2,Export,6093805
352,4,1,Import,21574
372,4,1,Import,103875
372,4,2,Export,4245131
376,4,1,Import,1000
376,4,2,Export,215000
381,4,1,Import,2007909
381,4,2,Export,8840496
384,4,1,Import,1459
392,4,1,Import,565481
392,4,2,Export,25105867
398,4,1,Import,1963555
398,4,2,Export,372434168
400,4,1,Import,2565467
400,4,2,Export,1470790
410,4,1,Import,62533
410,4,2,Export,39604866
414,4,1,Import,122077
414,4,2,Export,7321605
417,4,1,Import,72738
417,4,2,Export,8930678
428,4,1,Import,204902
428,4,2,Export,2328405
440,4,1,Import,4612
440,4,2,Export,4998960
442,4,1,Import,30054
442,4,2,Export,1253571
450,4,1,Import,2498
450,4,2,Export,63481
458,4,1,Import,37332
458,4,2,Export,99125519
470,4,1,Import,1121
470,4,2,Export,289831
480,4,1,Import,538
480,4,2,Export,10077
484,4,1,Import,4446249
484,4,2,Export,55467
490,4,1,Import,92029
490,4,2,Export,1075526
496,4,1,Import,6965
498,4,1,Import,5370
498,4,2,Export,44285
499,4,1,Import,1240
504,4,2,Export,56341
512,4,2,Export,43158
524,4,1,Import,80258
524,4,2,Export,9121724
528,4,1,Import,1032839
528,4,2,Export,46383160
554,4,1,Import,83642
554,4,2,Export,283261
558,4,1,Import,15609
562,4,1,Import,2016
579,4,1,Import,141343
579,4,2,Export,2395019
586,4,1,Import,390400903
586,4,2,Export,1722215727
600,4,1,Import,963
604,4,1,Import,35282
604,4,2,Export,3128931
616,4,1,Import,117871
616,4,2,Export,9412750
620,4,1,Import,20230
620,4,2,Export,342945
634,4,1,Import,214732
634,4,2,Export,2617138
642,4,1,Import,156
642,4,2,Export,8037116
643,4,1,Import,9100744
643,4,2,Export,148012803
646,4,2,Export,10700
682,4,1,Import,626134
682,4,2,Export,4951740
686,4,1,Import,303240
686,4,2,Export,28408
688,4,1,Import,4034
688,4,2,Export,12207201
699,4,1,Import,317719545
699,4,2,Export,534258251
702,4,1,Import,217673
702,4,2,Export,15855945
703,4,1,Import,6140
703,4,2,Export,5992734
705,4,1,Import,31726
705,4,2,Export,409993
710,4,1,Import,56772
710,4,2,Export,719791
716,4,1,Import,17754
716,4,2,Export,21709
724,4,1,Import,1403850
724,4,2,Export,4223924
752,4,1,Import,106715
752,4,2,Export,16939067
757,4,1,Import,588566
757,4,2,Export,7375227
764,4,1,Import,75214
764,4,2,Export,28851738
768,4,1,Import,1351
788,4,1,Import,13642
792,4,1,Import,11889376
792,4,2,Export,161634386
804,4,1,Import,266023
804,4,2,Export,8983348
807,4,1,Import,1381
807,4,2,Export,318618
818,4,1,Import,440433
818,4,2,Export,6002827
826,4,1,Import,7208860
826,4,2,Export,27252926
834,4,1,Import,3012
842,4,1,Import,22591051
842,4,2,Export,499749292
854,4,1,Import,2882
858,4,1,Import,10421
858,4,2,Export,281383
887,4,1,Import,136683
887,4,2,Export,100
894,4,1,Import,1654
328,4,1,Import,628
328,4,2,Export,1242
508,4,1,Import,1722858
508,4,2,Export,47172
690,4,1,Import,32437
729,4,1,Import,100999
52,4,1,Import,8565
608,4,1,Import,1153724
608,4,2,Export,6348643
12,8,1,Import,1234921
12,8,2,Export,10652863
24,8,1,Import,331768
31,8,1,Import,6803
32,8,1,Import,201670
32,8,2,Export,4744660
36,8,1,Import,704516
36,8,2,Export,2007711
40,8,1,Import,19758513
40,8,2,Export,65845324
48,8,1,Import,372621
48,8,2,Export,82172
51,8,1,Import,164058
56,8,1,Import,7093624
56,8,2,Export,27367389
60,8,1,Import,5923
68,8,1,Import,85651
70,8,1,Import,6093011
70,8,2,Export,23808695
72,8,2,Export,202093
76,8,1,Import,736288
76,8,2,Export,36559955
84,8,1,Import,379638
96,8,1,Import,174
96,8,2,Export,364
100,8,1,Import,21379895
100,8,2,Export,69207516
108,8,1,Import,39209
112,8,1,Import,432800
112,8,2,Export,2000
116,8,1,Import,1161
120,8,1,Import,169843
120,8,2,Export,104943
124,8,1,Import,6526864
124,8,2,Export,28400685
132,8,1,Import,22
144,8,1,Import,126189
144,8,2,Export,8832330
152,8,1,Import,290966
152,8,2,Export,65358
156,8,1,Import,128654741
156,8,2,Export,430471040
170,8,1,Import,516318
170,8,2,Export,178082
188,8,1,Import,11466
188,8,2,Export,311112
191,8,1,Import,3909769
191,8,2,Export,75184288
196,8,1,Import,72354
196,8,2,Export,1334363
203,8,1,Import,9171126
203,8,2,Export,32251667
204,8,1,Import,79303
204,8,2,Export,4250840
208,8,1,Import,1040900
208,8,2,Export,4874977
214,8,1,Import,569968
214,8,2,Export,91269
218,8,1,Import,1142160
218,8,2,Export,11803928
231,8,1,Import,80622
231,8,2,Export,198278
233,8,1,Import,530928
233,8,2,Export,677071
246,8,1,Import,1028264
246,8,2,Export,1653049
251,8,1,Import,66518007
251,8,2,Export,43917488
258,8,1,Import,92148
268,8,1,Import,122952
268,8,2,Export,204979
275,8,1,Import,139502
276,8,1,Import,80374038
276,8,2,Export,227099323
300,8,1,Import,110624975
300,8,2,Export,386551255
324,8,1,Import,2212
344,8,1,Import,448487
344,8,2,Export,10575031
348,8,1,Import,15674404
348,8,2,Export,61340549
352,8,1,Import,95555
352,8,2,Export,551290
372,8,1,Import,4800713
372,8,2,Export,7681318
376,8,1,Import,82000
376,8,2,Export,11149000
381,8,1,Import,899461049
381,8,2,Export,1433408162
384,8,1,Import,368162
384,8,2,Export,150659
388,8,1,Import,31856
392,8,1,Import,6732507
392,8,2,Export,1265574
398,8,1,Import,606713
400,8,1,Import,168170
400,8,2,Export,388211
410,8,1,Import,1924677
410,8,2,Export,16683010
414,8,1,Import,1618696
414,8,2,Export,42740
417,8,1,Import,895
428,8,1,Import,173812
428,8,2,Export,1307065
440,8,1,Import,583571
440,8,2,Export,2150253
442,8,1,Import,168628
442,8,2,Export,33868
450,8,1,Import,360
454,8,2,Export,17080
458,8,1,Import,315557
458,8,2,Export,11399681
470,8,1,Import,2341711
470,8,2,Export,413972
480,8,1,Import,79579
484,8,1,Import,1885915
484,8,2,Export,3147092
490,8,1,Import,1236166
490,8,2,Export,12789013
496,8,1,Import,75745
498,8,1,Import,131250
498,8,2,Export,48299
499,8,1,Import,33268181
499,8,2,Export,14827110
504,8,1,Import,1388603
504,8,2,Export,3364267
512,8,1,Import,1255448
512,8,2,Export,70679
524,8,2,Export,79965
528,8,1,Import,8761686
528,8,2,Export,53926411
540,8,1,Import,890
554,8,1,Import,266716
554,8,2,Export,95550
558,8,1,Import,5958
558,8,2,Export,600
562,8,1,Import,6827
579,8,1,Import,2360715
579,8,2,Export,1616017
586,8,1,Import,59260
586,8,2,Export,3975218
591,8,2,Export,452932
600,8,2,Export,1538717
604,8,1,Import,77065
604,8,2,Export,311907
616,8,1,Import,7654790
616,8,2,Export,45091259
620,8,1,Import,172228
620,8,2,Export,6642424
634,8,1,Import,2224762
634,8,2,Export,2938656
642,8,1,Import,11207174
642,8,2,Export,51685994
643,8,1,Import,12224933
643,8,2,Export,66986542
646,8,1,Import,2240
682,8,1,Import,6374941
682,8,2,Export,929068
686,8,1,Import,8517849
686,8,2,Export,3180373
688,8,1,Import,20017523
688,8,2,Export,101911217
699,8,1,Import,12282560
699,8,2,Export,21941475
702,8,1,Import,166936
702,8,2,Export,471809
703,8,1,Import,3453407
703,8,2,Export,43004030
705,8,1,Import,2303004
705,8,2,Export,40937925
710,8,1,Import,886767
710,8,2,Export,723962
724,8,1,Import,104874662
724,8,2,Export,70958130
752,8,1,Import,1006202
752,8,2,Export,7979732
757,8,1,Import,13416615
757,8,2,Export,33727996
764,8,1,Import,465755
764,8,2,Export,6685878
768,8,1,Import,1351
788,8,1,Import,696523
788,8,2,Export,11599755
792,8,1,Import,49577775
792,8,2,Export,287395257
804,8,1,Import,2941105
804,8,2,Export,24850064
807,8,1,Import,44829446
807,8,2,Export,65966001
818,8,1,Import,13456107
818,8,2,Export,7761291
826,8,1,Import,4727043
826,8,2,Export,23449372
834,8,1,Import,6336
834,8,2,Export,157
842,8,1,Import,163011774
842,8,2,Export,30824440
854,8,1,Import,102715
858,8,1,Import,288318
858,8,2,Export,170193
894,8,1,Import,5949
508,8,1,Import,113389
690,8,1,Import,75128
694,8,1,Import,80004
729,8,1,Import,177610
729,8,2,Export,2147279
52,8,1,Import,16737
608,8,1,Import,113345
608,8,2,Export,117464
12,24,1,Import,1553121
12,24,2,Export,938928
31,24,2,Export,918903
32,24,1,Import,28028
32,24,2,Export,59153985
36,24,1,Import,19257198
36,24,2,Export,4490816
40,24,1,Import,20419034
40,24,2,Export,40516553
48,24,2,Export,4932143
51,24,1,Import,134
56,24,1,Import,598850473
56,24,2,Export,241444822
68,24,1,Import,42861
70,24,2,Export,1038813
